,cellid,callin0,callin1,callin2,callin3,callin4,callin5,callin6,callin7,callin8,callin9,callin10,callin11,callin12,callin13,callin14,callin15,callin16,callin17,callin18,callin19,callin20,callin21,callin22,callin23,h/w
173,8484,0.00046719162892136864,0.0003394372696546765,5.904844258841929e-07,0.000273415815666294,0.00043121604752782613,0.00028610390042827264,0.0026633900284722786,0.007947522313534667,0.023425155976611177,0.03749298483726009,0.03529995133697974,0.032708598722109704,0.030291174227296165,0.02440449946545348,0.029945928537050383,0.03982115953223467,0.03710910459889018,0.03373449701591508,0.028541165882545072,0.026036937354685766,0.016018196148096592,0.009392693848844247,0.00416153220557048,0.0033289858750174405,0
174,8493,0.0015063615293301625,0.0009945976621669901,0.00024539823201480296,0.0002775298257693063,3.182938341580104e-05,0.0009752011874610172,0.0019380425382394479,0.016254432589490154,0.03186580948078464,0.03618588360636586,0.04157496302688891,0.032160975552054785,0.03532043726774012,0.0324434606880955,0.030741058382307073,0.03396714609574243,0.03882704906802523,0.047509835590709176,0.04656812565973926,0.03202901282214527,0.023017813691235754,0.010891294238649594,0.006454800628870257,0.0029182440347580987,1
175,8558,0.0013103006245911218,0.0006278929854691785,0.0009348599538420343,0.0003670630378880187,0.00014853901727837813,0.0004624855100129673,0.000998261030644781,0.01382438961293733,0.03844467996587052,0.05864174640209489,0.0611531631680145,0.07643508156333635,0.06790953375744006,0.05167895292293299,0.06188175941613117,0.060884142463915256,0.06809609013769848,0.08600558886073736,0.09519364557976474,0.05568064360442808,0.03688784764941156,0.028352655377612935,0.016608922175553768,0.0059557094108184695,1
176,8565,0.0003085430301534828,0.00020119019756488463,2.5259749664688362e-05,0.0,1.8037332754111852e-05,0.0,0.00023317857989934475,0.0034988143508663727,0.011721729953227029,0.011302140109986649,0.017830011055965492,0.020391920199294984,0.01529043847732708,0.01351992499404397,0.010253215466856888,0.014111402347240766,0.02304007850925078,0.02535934443903254,0.022742040257562216,0.0164124715841381,0.00951169700186326,0.006623717495625631,0.003280202671910659,0.0010087097418659686,0
177,8578,0.002914037385125687,0.0008991158891902558,0.0,2.0109399732966776e-05,0.0,6.032819919890046e-05,0.0026836610908203334,0.014195226655394673,0.04012114656324741,0.0560604579953929,0.07762206871603941,0.08651764795919581,0.08051553381790391,0.06922110696224854,0.0745791415384986,0.0734865953097434,0.0892565548113053,0.10770471917825068,0.09755956331334915,0.057245210135099214,0.03759689741874949,0.025552549037939742,0.010863267788798316,0.005354006349713607,1
178,8582,0.0001947774996145347,0.00013501583527790313,0.0,0.00014995622595908353,0.0,0.0004946899515327019,0.001280997765587668,0.005065865631093223,0.016430838215908402,0.02037767506196722,0.022652466744765138,0.01893289490456873,0.01928535264781382,0.015021760842432492,0.020970971844831814,0.020560326578976485,0.02420267431879526,0.021827257530073006,0.019454115736504737,0.017833522050158885,0.010799330299603746,0.006922045009855115,0.0037075386751846437,0.001902664809215668,1
179,8599,0.0008059580520666848,0.0005946305465651804,0.00044712117448081785,1.291651775707438e-05,0.00034592035982879225,0.00021531814706112558,0.0012430526050674735,0.008740502612227039,0.016155709564653415,0.01681011322507115,0.017815537881363277,0.01842151106797613,0.016720346355590963,0.016185459453418417,0.021402866664067936,0.014725248815262963,0.018788182547393232,0.024541488133963008,0.02064923569242293,0.018184122252177484,0.010682303990875948,0.006647322830848493,0.0036486887098349007,0.001820775992315958,1
180,8656,0.002666394681804977,0.0015243201202801975,0.00015135386811106834,0.001289491811592753,0.00044657195391362836,0.000833369801632505,0.005039389878939524,0.02228897560531643,0.06375882528966206,0.07773090573083671,0.08762292348281495,0.08680148191046248,0.07462648020608403,0.06444461134692116,0.087636974835424,0.08003778613410763,0.0869639049595667,0.10202608581303746,0.09166028255269706,0.05835329487958552,0.037322652081955225,0.026536628475066545,0.00958238220939386,0.008553113842094262,1
181,8670,0.00253193337239376,0.00168563336902846,0.0,0.0,0.0,0.0005493009444749555,0.0019205266966337083,0.019346676709822402,0.043802255079045685,0.059776774669722664,0.056679722485123145,0.07647063280148154,0.07487173908038922,0.07045257491906338,0.07981763516364418,0.06371664884589946,0.07492344007702366,0.08968175516562223,0.08626571400663643,0.06046805332858756,0.0412975114337535,0.03273893737626932,0.016221207275388668,0.00640767226805931,0
182,8671,0.0028760859560447646,0.001747292752726863,0.0,0.0,1.2006181138190118e-06,0.0007190214890111912,0.001747292752726863,0.021070196084944783,0.04199335420361861,0.059213439105343886,0.054797347489953255,0.07642219214285552,0.07323402098256154,0.07428344727689713,0.0817886047029147,0.0660605686921453,0.07832761460245956,0.09284890709086398,0.0921363930914228,0.06516598057971333,0.04536587459958413,0.03890589905263652,0.017285810818215123,0.007452948638147661,0
