cellid,lat,lon,home,high_dens,mid_dens,low_dens,work,transport
4873,45.45926059999999,9.229128800000002,0,0,1,0,1,0
4874,45.4592544,9.2321346,0,0,1,0,1,1
4875,45.4592482,9.235140000000001,0,0,1,0,1,1
4876,45.459242,9.238145800000002,1,0,1,0,1,0
4877,45.4592356,9.2411518,1,0,1,0,0,0
4878,45.459229400000005,9.2441576,1,0,1,0,0,0
4879,45.459222999999994,9.2471632,1,0,1,0,1,0
4880,45.45921619999999,9.2501688,1,0,1,0,0,1
4881,45.4592094,9.2531746,0,0,0,1,0,1
4882,45.459202999999995,9.2561804,1,0,0,1,0,0
4963,45.461431999999995,9.1990786,1,1,0,0,0,0
4964,45.461426800000005,9.202084600000001,1,1,0,0,1,0
4965,45.46142139999999,9.2050904,1,1,0,0,0,0
4966,45.4614158,9.2080962,1,1,0,0,0,1
4967,45.4614104,9.2111022,1,1,0,0,0,0
4968,45.461404800000004,9.214108200000002,1,1,0,0,1,0
4969,45.46139939999999,9.217114,1,1,0,0,0,0
4970,45.461393599999994,9.220119800000003,1,1,0,0,1,0
4971,45.461387599999995,9.223125600000001,1,1,0,0,1,0
4972,45.4613816,9.226131200000001,1,1,0,0,0,0
4973,45.4613756,9.2291372,1,1,0,0,0,0
4974,45.4613696,9.232143,1,1,0,0,1,0
4975,45.4613636,9.235148800000001,1,1,0,0,1,0
4976,45.461357400000004,9.2381548,1,0,1,0,0,1
4977,45.461351,9.2411608,1,0,1,0,0,0
4978,45.461344600000004,9.244166799999999,1,0,1,0,0,0
4979,45.4613382,9.247172599999999,1,0,1,0,0,1
4980,45.46133139999999,9.2501784,1,0,0,1,0,1
4981,45.461325,9.2531842,0,0,0,1,0,1
4982,45.4613182,9.256189799999998,1,0,0,1,0,0
5063,45.463547,9.1990862,1,1,0,0,0,0
5064,45.463542000000004,9.2020922,1,1,0,0,1,0
5065,45.4635366,9.205098199999998,1,1,0,0,1,0
5066,45.463531,9.2081042,1,1,0,0,0,0
5067,45.4635256,9.2111102,1,1,0,0,1,0
5068,45.46352,9.2141162,1,1,0,0,0,0
5069,45.463514599999996,9.2171222,1,1,0,0,0,0
5070,45.4635086,9.2201282,1,1,0,0,0,0
5071,45.4635026,9.223134,1,1,0,0,1,0
5072,45.4634966,9.226139800000002,1,1,0,0,1,0
5073,45.4634906,9.229145800000001,1,1,0,0,0,0
5074,45.4634846,9.2321518,1,1,0,0,0,0
5075,45.463478599999995,9.2351578,1,1,0,0,0,0
5076,45.4634726,9.238163799999999,1,0,1,0,0,1
5077,45.4634662,9.2411698,0,0,1,0,1,0
5078,45.46345960000001,9.244175799999999,0,0,1,0,0,0
5079,45.4634534,9.2471818,0,0,1,0,0,0
5080,45.463446999999995,9.250187800000003,0,0,0,1,0,1
5081,45.4634402,9.2531936,0,0,0,1,1,1
5082,45.4634332,9.2561994,0,0,0,1,1,0
5163,45.4656624,9.199093600000001,1,1,0,0,0,0
5164,45.465657,9.2020996,1,1,0,0,1,0
5165,45.4656518,9.205105800000002,1,1,0,0,0,0
5166,45.465646400000004,9.208112199999999,1,1,0,0,0,0
5167,45.4656408,9.211118199999998,1,1,0,0,0,0
5168,45.465635400000004,9.214124199999999,1,1,0,0,0,0
5169,45.4656296,9.2171302,1,1,0,0,0,0
5170,45.4656238,9.220136199999999,1,1,0,0,1,0
5171,45.4656182,9.223142200000002,1,1,0,0,1,0
5172,45.4656122,9.2261482,1,1,0,0,1,0
5173,45.4656062,9.2291544,1,1,0,0,0,0
5174,45.465600200000004,9.232160799999999,1,1,0,0,0,0
5175,45.465593999999996,9.235166799999998,1,1,0,0,1,1
5176,45.46558759999999,9.238172800000001,0,0,1,0,1,1
5177,45.465581400000005,9.2411788,0,0,1,0,1,0
5178,45.465575,9.2441848,0,0,0,1,0,0
5179,45.4655686,9.247190800000002,0,0,0,1,0,0
5180,45.4655622,9.250196800000001,0,0,0,1,0,1
5181,45.46555540000001,9.2532028,0,0,0,1,0,1
5182,45.4655488,9.256209,1,0,0,1,0,0
5263,45.4677778,9.1991012,1,1,0,0,0,0
5264,45.4677724,9.2021072,1,1,0,0,1,0
5265,45.467766999999995,9.205113399999998,1,1,0,0,0,0
5266,45.467761800000005,9.2081198,1,1,0,0,0,0
5267,45.4677564,9.211126199999999,1,1,0,0,0,1
5268,45.4677506,9.214132199999998,1,1,0,0,0,0
5269,45.4677448,9.217138199999999,1,1,0,0,1,1
5270,45.467739400000006,9.2201442,1,1,0,0,0,0
5271,45.467733599999995,9.2231504,1,1,0,0,0,1
5272,45.4677276,9.226156800000002,1,1,0,0,0,0
5273,45.4677216,9.229163,1,1,0,0,0,1
5274,45.467715600000005,9.2321692,1,1,0,0,0,1
5275,45.467709400000004,9.2351754,1,1,0,0,1,0
5276,45.46770299999999,9.2381818,0,0,1,0,1,1
5277,45.4676966,9.241187800000002,1,0,1,0,0,0
5278,45.467690399999995,9.244193800000001,0,0,0,1,0,0
5279,45.467684000000006,9.2472,0,0,0,1,0,0
5280,45.4676772,9.2502064,1,0,0,1,0,0
5281,45.467670600000005,9.2532124,1,0,0,1,0,1
5282,45.4676642,9.2562186,1,0,0,1,0,0
5363,45.469893,9.199108599999999,1,1,0,0,0,0
5364,45.469887799999995,9.2021148,1,1,0,0,0,0
5365,45.4698824,9.205121199999999,1,1,0,0,0,0
5366,45.46987700000001,9.208127399999999,1,1,0,0,0,0
5367,45.4698716,9.211133800000002,1,1,0,0,1,0
5368,45.469865799999994,9.2141402,1,1,0,0,0,0
5369,45.4698604,9.217146199999998,1,1,0,0,0,0
5370,45.469854600000005,9.2201524,1,1,0,0,0,1
5371,45.4698486,9.223158999999999,1,1,0,0,1,0
5372,45.46984259999999,9.2261652,1,1,0,0,0,0
