cellid,smsin0,smsin1,smsin2,smsin3,smsin4,smsin5,smsin6,smsin7,smsin8,smsin9,smsin10,smsin11,smsin12,smsin13,smsin14,smsin15,smsin16,smsin17,smsin18,smsin19,smsin20,smsin21,smsin22,smsin23,h/w
4473,0.0021940171537127647,0.0004810237500256541,0.0008700508485519408,0.0009685892218360969,0.005203894537480324,0.011972181859752358,0.012888158992836922,0.014784355090855955,0.023175221370818438,0.01890274629722836,0.016739598301761284,0.015883355486386315,0.010383994102847639,0.008131753961894377,0.0037924139384801383,0.0030934799993564033,0.002109308024114132,0.0024045667422505812,0.0023502214025866277,0.001602094871412993,0.001574104747553913,0.0014125884841035396,0.0008663546343801839,0.0008418288711769578,1
4474,0.0010485583133688784,0.0003276188921410357,0.0009441542490359677,0.0013982319005152086,0.005723904031436738,0.01230466842802849,0.01348868523725443,0.015241072791403331,0.021395648038666445,0.015447639886829614,0.014853586069453546,0.01328073079761781,0.003647917203564051,0.0026326543549609347,0.004154641533502624,0.003925130450489441,0.00261059965995564,0.0035741051226851777,0.004051126761753392,0.0026362471288563388,0.0018316065976450174,0.0020224152532731317,0.001347826255297491,0.0013568259918163446,0
4475,0.002405813643297789,0.0002509290404770303,0.0008399336361452482,0.0011354832376131467,0.005082912810402079,0.010926566483959118,0.011848287032292895,0.01342456371985259,0.01927538782855099,0.014435432215034684,0.013797048806294164,0.011835220622806867,0.004639258157712994,0.0033729592178222117,0.005239351538516478,0.004793046510513174,0.0031982325639209335,0.0040224321463776256,0.0040941737967887136,0.0031241167087540777,0.002577421263140276,0.0026288699833221236,0.0017564091903010204,0.001229078549358437,0
4476,0.010022399006841112,0.00017699007778195172,0.0009086715069825907,0.0002183446309778079,0.0015579033478627772,0.0026941338649741796,0.002416451021831479,0.005201094527814153,0.011832327384576768,0.012641190147720747,0.01439545801984701,0.011040305374107502,0.01311826981028928,0.010594048357584842,0.015328056511186046,0.013723849436235721,0.011415828069264687,0.011353428455330479,0.009794760766373154,0.010231422656134068,0.00925361240571455,0.008588904540565117,0.006277401290622294,0.001955904933415766,0
4477,0.011515648349940854,0.0005264451741650169,0.0016268377473557733,0.00022013276201175526,0.001268075845984736,0.0023430141924903145,0.0019941933481748136,0.006632274661554856,0.015270306858951678,0.01776690053861002,0.020099139615355883,0.017257945310212547,0.019284876648805058,0.01537796711513452,0.023357584194239316,0.02152061522674827,0.019816990020965142,0.018044630124041835,0.015306491214615093,0.015469160626342552,0.015541579174465725,0.013209857932774545,0.010045219451372754,0.003470904365213623,0
4478,0.006416538674199577,0.0007627540204139456,0.0026291817403159314,0.00021683020060044958,0.0009410312476103924,0.0022273439804046478,0.0020476356181933974,0.01050700151306909,0.02515683922394949,0.0346036900874478,0.03243351158022449,0.0408954796696211,0.037106082229793946,0.03416297871957485,0.04712174352371295,0.04382579539583859,0.04464172796125818,0.03351096219114407,0.029235040019508936,0.03168291550780556,0.02288071544788243,0.020588068888119274,0.013648323419726887,0.004688905618336548,0
4479,0.0027518552544262853,0.0009778163207147194,0.002133612935004905,0.00014132002958000387,0.0003968171788420418,0.001174077341532063,0.002472975578320749,0.009550092239075459,0.02660814256299507,0.037320884443470016,0.037492078742750484,0.04381193467251727,0.03754827729764637,0.0381810659517179,0.047918966335923525,0.04542116131597145,0.047639768506262496,0.03423028161888378,0.028764699896591306,0.03196690405013348,0.0213505227015995,0.01882260079877551,0.011850203156531904,0.00416411329889379,0
4480,0.0018296538036428553,0.0011499076968423257,0.0003828779601533331,0.0,0.00012918606101738157,0.00012499587792748844,0.0034012211687693018,0.004255989076258012,0.019316014406616087,0.024620162013931968,0.033271991915920826,0.022366200694470557,0.018594373921932774,0.024442939622210114,0.02269111075197624,0.024528893685957773,0.02666461498976711,0.01929068110127468,0.012301253633843724,0.014424463854793571,0.01061010640561809,0.006646966018492493,0.005475042024477921,0.002404305144251239,0
4481,0.001235621531123697,0.002394276686288854,0.0006596374844963694,9.498420058524199e-07,0.00017682623730475884,0.0001259457199333409,0.0018721084575813991,0.004972800750718456,0.011882859134252447,0.018557195210541198,0.023221687857938763,0.019698830652244405,0.016774409444634878,0.01679114253360831,0.016474534646320278,0.012996409677949001,0.01752842633077086,0.01930960909509455,0.010248242204026578,0.011264349472082845,0.007588692066088086,0.00624227035708869,0.005112212132843104,0.002912429996549999,0
4482,0.0017127379081917937,0.002003460963186654,0.0006560257773400262,2.598772052782492e-05,0.0002047645225881159,0.00015098359845531337,0.001968176515512273,0.005485644700153719,0.013343973047559087,0.01765338240316043,0.020543786881769638,0.01761336763947648,0.016667336867675055,0.015373539404144465,0.014244239770928825,0.011651039556155696,0.016344148388300096,0.01770966706926119,0.011460765846576201,0.012187732086396437,0.007864443082700219,0.006188989051755906,0.005161789607074122,0.0031390895642589094,0
4573,0.00041380456523688923,0.00019208570071065935,0.0003217377256490383,0.0006606152253001267,0.004924617703197206,0.011613909496761127,0.011918824961881739,0.011391136353761985,0.01672361795100516,0.01339101400387147,0.010871813261756142,0.008135599571067288,0.003980493670785234,0.003184972116321893,0.0029565563832368593,0.0033873670252447126,0.0021517184725608355,0.0021562197282942305,0.0015907198037279097,0.0014907676776024438,0.0017703054033452118,0.0015663789767387927,0.0006978407772083992,0.0008919368395659454,1
4574,9.926829617541504e-05,0.00011769203782239507,0.00030640865916604085,0.0006581180791362757,0.00506783846394998,0.011835089978864814,0.01207397396480829,0.01094901391300829,0.01572624276874386,0.011732809968105445,0.009034693078610982,0.006634508186316838,0.002191677485053331,0.0012945249268440154,0.0017464196594240147,0.0019214527600286717,0.000848927221270259,0.0011831529497301166,0.0006366430277135481,0.00036942856569999774,0.0008034766931229261,0.0005699727177513414,0.0003112982966639327,0.00019990328584778042,0
4575,0.00029966200379688627,0.00011590666189448326,0.000140647693566071,0.0005547606984043677,0.002827967868895158,0.006622717910941474,0.007435672552501608,0.006677407687309468,0.010353276694318077,0.009293431937172022,0.007354896318468513,0.006332541423007733,0.00315375831988084,0.003185357292817958,0.0032137453446323826,0.002464324914302439,0.0026609238288738428,0.003062892289074493,0.004137835145904101,0.00338896649163464,0.0023313024398350494,0.0017076893429659838,0.0011448830624631006,0.0005329309884389257,0
